"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
2416;1684;"05";111;"0";"0";"0";"0"
2417;1684;"06";111;"0";"0";"0";"0"
2418;1684;"07";191;"0";"0";"0";"0"
2419;1685;"01";291;"1";"0";"0";"0"
2420;1685;"02";107;"1";"0";"0";"0"
2421;1685;"03";107;"1";"0";"0";"0"
2422;1685;"04";50;"1";"0";"0";"0"
2423;1685;"05";314;"1";"0";"0";"0"
2424;1685;"06";203;"1";"0";"0";"0"
2425;1685;"07";141;"1";"0";"0";"0"
2426;1685;"08";141;"1";"0";"0";"0"
2427;1685;"09";123;"1";"0";"0";"0"
2429;1686;"01";139;"0";"0";"0";"0"
2430;1686;"02";192;"0";"0";"0";"0"
2431;1686;"03";142;"0";"0";"0";"0"
2432;1686;"04";142;"0";"0";"0";"0"
2433;1686;"05";158;"0";"0";"0";"0"
2434;1686;"06";137;"0";"0";"0";"0"
2435;1686;"07";42;"0";"0";"0";"0"
2436;1686;"08";52;"0";"0";"0";"0"
2437;1686;"09";299;"0";"1";"0";"0"
2438;1672;"08";97;"1";"0";"0";"0"
2439;1672;"09";206;"1";"0";"0";"0"
2440;1673;"09";136;"1";"0";"0";"0"
2446;1685;"10";62;"1";"0";"0";"0"
2573;1746;"01";192;"1";"0";"0";"0"
2574;1746;"02";192;"1";"0";"0";"0"
2575;1746;"03";159;"0";"0";"0";"0"
2576;1746;"04";159;"0";"0";"0";"0"
2577;1746;"05";192;"1";"0";"0";"0"
2578;1746;"06";159;"0";"0";"0";"0"
2579;1746;"07";159;"1";"0";"0";"0"
2580;1746;"08";192;"1";"0";"0";"0"
2581;1746;"09";159;"1";"0";"0";"0"
2582;1746;"10";159;"1";"0";"0";"0"
2583;1746;"11";192;"1";"0";"0";"0"
2584;1746;"12";192;"0";"0";"0";"0"
2597;1748;"01";352;"1";"0";"0";"0"
2598;1748;"02";106;"0";"0";"0";"0"
2599;1748;"03";96;"1";"0";"0";"0"
2600;1748;"04";35;"1";"0";"0";"0"
